Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
"Anwaltssozietät Prof. Dr. Tondorf, Böhm & Leber","Ritterstr. 9, 40213 Düsseldorf",No LinkedIn link,http://www.tondorfboehm.de/,kanzlei@tondorfboehm.de,Oliver Dünow; Gregor Leber; Niklas Böhm; Sebastian Böhm,Fachanwaltschaft Medizinrecht •  • Fachanwaltschaft Strafrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht • Arzthaftungsrecht • Zivilrecht • Ordnungswidrigkeitenrecht • Unterhaltsrecht
Anwaltskanzlei Dr. Schneider & Schulze,"Franzstr. 117, 06842 Dessau-Roßlau",No LinkedIn link,https://www.rechtsanwalt-dessau.com/,kanzlei@schneider-schulze.de,Christin Terne; Heidrun Schulze; Dr. Sebastian Schneider,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Sozialrecht • Erbrecht • Verwaltungsrecht •  • Strafrecht • Schadensersatzrecht & Schmerzensgeldrecht • Ordnungswidrigkeitenrecht • Grundstücksrecht & Immobilienrecht • Werkvertragsrecht
Anwaltskanzlei Memmert,"Erkrather Str. 162, 40233 Düsseldorf",No LinkedIn link,http://www.anwaltskanzlei-memmert.de/,info@rechtsanwalt-memmert.de,"Bernd Stephan Memmert LL.M.; Bernd Stephan Memmert LL.M., LL.M.",Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft IT-Recht • Fachanwaltschaft Versicherungsrecht •  • eBay & Recht • Allgemeines Vertragsrecht • Forderungseinzug & Inkassorecht
Anwaltskanzlei Welz,"Tribseer Damm 77, 18439 Stralsund",No LinkedIn link,https://www.ra-welz.de/,office@ra-welz.de,Michael Welz; Michael Ohlendorf; Sophia-Theresa Melahn,Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Medizinrecht •  • Fachanwaltschaft Strafrecht • Zivilrecht • Arbeitsrecht • Erbrecht • Arzthaftungsrecht • Grundstücksrecht & Immobilienrecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Beamtenrecht • Versicherungsrecht • Ordnungswidrigkeitenrecht • Opferhilfe
Vogt & Reiners Rechtsanwälte,"Schloßstr. 92, 22041 Hamburg",No LinkedIn link,http://www.vogtreiners.de/,vogt@vogtreiners.de,Christian B. Remstedt; Wolfgang R. Vogt; Heiko Pätzmann; Christian Wöhe,Fachanwaltschaft Erbrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Urheberrecht & Medienrecht • Gewerblicher Rechtsschutz • Steuerrecht • Maklerrecht • Grundstücksrecht & Immobilienrecht •  • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht • Werkvertragsrecht • Jagdrecht • Allgemeines Vertragsrecht
Rechtsanwälte Hartmann Abel Zimmer Partnerschaftsgesellschaft mbB,"Gaswerkstraße 5b, 77652 Offenburg",No LinkedIn link,https://www.anwaelte-hc.de/,info@anwaelte-hc.de,Christian Abel; Markus Hartmann; Jürgen Zimmer; Artur Junge; Stefanie Nassall,Fachanwaltschaft Strafrecht •  • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verwaltungsrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Familienrecht • Ordnungswidrigkeitenrecht • Beamtenrecht • Sozialrecht • Grundstücksrecht & Immobilienrecht • Schadensersatzrecht & Schmerzensgeldrecht
D.O.C. Rechtsanwälte/ Fachanwälte,"Kaiser-Wilhelm-Str. 89, 20355 Hamburg",No LinkedIn link,https://doc-rechtsanwaelte.de/,info@doc-rechtsanwaelte.de,Eylem Çağlar; Șeyma Soydemir; Jutta Wenzel; Dr. Oktay Caglar,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht •  • Strafrecht
Anwaltskanzlei Streit Götz Chromik,"Myliusstraße 14, 71638 Ludwigsburg",No LinkedIn link,https://www.sgc-anwaelte.de/,mail@sgc-anwaelte.de,Matthias Chromik; Alexander Götz; Dominik Streit,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Mietrecht & Wohnungseigentumsrecht •  • Zivilrecht • Ordnungswidrigkeitenrecht • Schadensersatzrecht & Schmerzensgeldrecht • Familienrecht • Kaufrecht • Schwerbehindertenrecht • Allgemeines Vertragsrecht
Rechtsanwälte am Westenhellweg,"Westenhellweg 43, 44137 Dortmund",No LinkedIn link,http://www.rae-westenhellweg.de/,info@rae-westenhellweg.de,Nicola Skoberne; André Möller; Michael Kohrs; Andre Hohlweg,Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Pflegerecht • Opferhilfe • Reiserecht • Familienrecht •  • Schwerbehindertenrecht • eBay & Recht • Schadensersatzrecht & Schmerzensgeldrecht • Zivilrecht • Allgemeines Vertragsrecht • Ordnungswidrigkeitenrecht • Arzthaftungsrecht
Kanzlei Lesch,"Johannisplatz 21, 04103 Leipzig",No LinkedIn link,http://www.kanzlei-lesch.de/,info@kanzlei-lesch.de,Carina Arneth; Bettina Lesch-Lasaridis; Peter Lesch,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Baurecht & Architektenrecht • Mediation •  • Arzthaftungsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Bankrecht & Kapitalmarktrecht • Zwangsvollstreckungsrecht • Gewerblicher Rechtsschutz • Grundstücksrecht & Immobilienrecht
