Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
No name found,No address found,No LinkedIn link,No website,No email,,Ordnungswidrigkeitenrecht • Verkehrsrecht • Strafrecht •  • Arbeitsrecht
"Anwaltssozietät Prof. Dr. Tondorf, Böhm & Leber","Ritterstr. 9, 40213 Düsseldorf",No LinkedIn link,http://www.tondorfboehm.de/,kanzlei@tondorfboehm.de,Oliver Dünow; Gregor Leber; Niklas Böhm; Sebastian Böhm,Fachanwaltschaft Medizinrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Strafrecht •  • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht • Arzthaftungsrecht • Zivilrecht • Ordnungswidrigkeitenrecht • Unterhaltsrecht
Anwaltskanzlei Streit Götz Chromik,"Myliusstraße 14, 71638 Ludwigsburg",No LinkedIn link,https://www.sgc-anwaelte.de/,mail@sgc-anwaelte.de,Matthias Chromik; Alexander Götz; Dominik Streit,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Mietrecht & Wohnungseigentumsrecht • Verkehrsrecht • Zivilrecht • Ordnungswidrigkeitenrecht • Schadensersatzrecht & Schmerzensgeldrecht •  • Kaufrecht • Schwerbehindertenrecht • Allgemeines Vertragsrecht
Bartholme · Schilling · Kaiser & Partner - Rechtsanwälte · Fachanwälte,"Karlstr. 36, 78054 Villingen-Schwenningen",No LinkedIn link,https://www.anwaelte-vs.de/,km@anwaelte-vs.de,Dr. Klaus Schilling; Dr. Stefan Bartholme; Matthias Kaiser; Tobias Bartholme,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verwaltungsrecht • Baurecht & Architektenrecht • Grundstücksrecht & Immobilienrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Erbrecht •  • Umweltrecht • Öffentliches Baurecht
Delgmann + Partner Rechtsanwälte – Fachanwälte,"Kennedyplatz 8, 45127 Essen",No LinkedIn link,http://www.delgmann.de/,mail@delgmann.de,Sinan Akcakaya; Ralf Delgmann; Hanns Peter Faber; Susanne Rüsken; Frank Gentile,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Strafrecht • Fachanwaltschaft Steuerrecht • Beamtenrecht • Verkehrsrecht • Erbrecht • Ausländerrecht & Asylrecht • IT-Recht • Mietrecht & Wohnungseigentumsrecht • Zivilrecht • Wirtschaftsrecht • Grundstücksrecht & Immobilienrecht • Schulrecht • Allgemeines Vertragsrecht
"Sperrer, Bette & Collegen","Kaflerstr. 4, 81241 München",No LinkedIn link,https://www.rae-bette.de/,info@rae-bette.de,Dr. Catharina Landwehr; Marc Sperrer LL.M.; Franz X. Bette; Isolde Borsos,Fachanwaltschaft Versicherungsrecht • Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Erbrecht •  • Verkehrsrecht • Arzthaftungsrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Bankrecht & Kapitalmarktrecht • Handelsrecht & Gesellschaftsrecht • Mediation • Urheberrecht & Medienrecht
Kanzlei Fahr | Groß | Indetzki,"Weingartenstr. 19a, 77654 Offenburg",No LinkedIn link,https://www.ra-og.de/,info@ra-og.de,Norbert Fischer; Amelie von Schoenaich LL.M. Eur.; Joachim Indetzki; Markus Groß; Dominic Schillinger; Karen Baas; Alexander Kofler; Benjamin Schütz LL.M.,Fachanwaltschaft Versicherungsrecht •  • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Urheberrecht & Medienrecht • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht • Werkvertragsrecht • Internationales Recht • Allgemeines Vertragsrecht • Arzthaftungsrecht • Unternehmensrecht & Betriebsnachfolge • Grundstücksrecht & Immobilienrecht • Strafrecht • Zivilrecht • Wettbewerbsrecht • IT-Recht • Gewerblicher Rechtsschutz
Anwaltssozietät Tigges & Sevis,"Heiliger Weg 3-5, 44135 Dortmund",No LinkedIn link,http://www.anwaltskanzleidortmund.de/,info@anwaltskanzleidortmund.de,Jörg Tigges; Serpil Sevis; Gesche Creon-Tigges,Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Migrationsrecht • Fachanwaltschaft Arbeitsrecht •  • Verkehrsrecht • Ausländerrecht & Asylrecht • Zivilrecht • Erbrecht • Forderungseinzug & Inkassorecht • Kaufrecht • Mietrecht & Wohnungseigentumsrecht • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht
DJS&G Fachanwälte,"Kölner Straße 2, 50226 Frechen",No LinkedIn link,https://djsug.de/,granitzka@djsug.de,Klaus Hindelang FA Strafrecht; Ulrich Granitzka; Nicole Kania,Fachanwaltschaft Strafrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Erbrecht •  • Ordnungswidrigkeitenrecht • Arzthaftungsrecht • Verkehrsrecht • Zivilrecht • Forderungseinzug & Inkassorecht
BORGELT & PARTNER Rechtsanwälte mbB,"Taubenstr. 22, 40479 Düsseldorf",No LinkedIn link,https://www.borgelt.de/,borgelt@borgelt.de,Cornelius Vetter; Dr. Rainer Borgelt; Eva N. Dzepina LL.M. (UK); Simon Schmitz-Berg; Chuya Kojima; Charlotte Herbertz,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Sozialrecht •  • Zivilrecht • Wirtschaftsrecht • Unternehmensrecht & Betriebsnachfolge • Allgemeines Vertragsrecht • Kaufrecht • Sportrecht • Erbrecht • Versicherungsrecht • Wettbewerbsrecht • Urheberrecht & Medienrecht • Patentrecht • IT-Recht • Markenrecht • Designrecht • Strafrecht • Ordnungswidrigkeitenrecht • Verwaltungsrecht • Verkehrsrecht • Mietrecht & Wohnungseigentumsrecht
BHG Rechtsanwälte,"Lortzingstr. 2, 49074 Osnabrück",No LinkedIn link,http://www.bhg-rechtsanwaelte.de/,borchers@bhg-rechtsanwaelte.de,Dagmar Borchers; Barbara Hansen; Antje Bergstedt-Tobe,• Mietrecht & Wohnungseigentumsrecht • Verkehrsrecht • Zivilrecht • Sportrecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Versicherungsrecht • Pferderecht • Strafrecht • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht • Arbeitsrecht • Sozialrecht
ADKL & Partner mbB,"Kieler Straße 16, 41540 Dormagen",No LinkedIn link,No website,kanzlei@adkl-dormagen.de,Reinhard Hahn; Alexander Wilsing; Wiljo Wimmer,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht •  • Unterhaltsrecht • Mietrecht & Wohnungseigentumsrecht • Erbrecht • Verkehrsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Ordnungswidrigkeitenrecht • Sozialrecht • Reiserecht • Zivilrecht • Zivilprozessrecht • Schwerbehindertenrecht
Kanzlei Tölle & Melchior,"Moltkestr. 2, 32756 Detmold",No LinkedIn link,http://www.toelle-melchior.com/,info@toelle-melchior.de,Anna-Luise Burg; Walter Simon; Wolf-Dieter Tölle; Berenice Tölle; Claas-Heinrich Quentmeier,Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Steuerrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verkehrsrecht • Allgemeines Vertragsrecht • Wirtschaftsrecht • Handelsrecht & Gesellschaftsrecht • IT-Recht • Sozialrecht • Verwaltungsrecht
Anwaltskanzlei Memmert,"Erkrather Str. 162, 40233 Düsseldorf",No LinkedIn link,http://www.anwaltskanzlei-memmert.de/,info@rechtsanwalt-memmert.de,"Bernd Stephan Memmert LL.M.; Bernd Stephan Memmert LL.M., LL.M.",Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Versicherungsrecht • Verkehrsrecht • eBay & Recht • Allgemeines Vertragsrecht • Forderungseinzug & Inkassorecht
Fächerstadt Rechtsanwälte Klas & Dr. Schmidt Partnerschaft mbB,"Karlstraße 126, 76137 Karlsruhe",No LinkedIn link,https://www.faecherstadt-rechtsanwaelte.de/,info@faecherstadt-rechtsanwaelte.de,Benedikt Klas LL.M.; Dr. René Schmidt,• Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Baurecht & Architektenrecht • Strafrecht •  • Zivilrecht • Urheberrecht & Medienrecht • Allgemeines Vertragsrecht • Maklerrecht • Werkvertragsrecht • Öffentliches Baurecht • Grundstücksrecht & Immobilienrecht
Warm & Kollegen Rechtsanwälte,"Detmolder Str. 204, 33100 Paderborn",No LinkedIn link,http://www.warm-rechtsanwaelte.de/,kanzlei@warm-rechtsanwaelte.de,Judith Spilker; Can Kaya; Martin J. Warm,Fachanwaltschaft Steuerrecht • Fachanwaltschaft Arbeitsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Erbrecht • Verkehrsrecht •  • Zivilrecht • Reiserecht • Gewerblicher Rechtsschutz • Werkvertragsrecht • Grundstücksrecht & Immobilienrecht • Forderungseinzug & Inkassorecht • Kaufrecht • Maklerrecht • Mietrecht & Wohnungseigentumsrecht • Allgemeines Vertragsrecht • Unternehmensrecht & Betriebsnachfolge • Wirtschaftsrecht • Handelsrecht & Gesellschaftsrecht
Westermann & Scholl Rechtsanwälte,"Schomburgstraße 87, 22767 Hamburg",No LinkedIn link,https://westermann-scholl.de/,info@westermann-scholl.de,Tom Westermann; Philipp Scholl,Fachanwaltschaft Urheberrecht & Medienrecht • Markenrecht • Designrecht • Gewerblicher Rechtsschutz • Patentrecht •  • Zivilprozessrecht
