Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
"Rechtsanwälte Stühlein, Barthelmes & Kollegen","Brückenstr. 2, 96047 Bamberg",https://www.linkedin.com/in/michael-fischer-26a4a8136/?trk=public_profile_browsemap&originalSubdomain=de,http://www.kanzlei-sbk.de/,info@kanzlei-sbk.de,Markus Stühlein; Christian Barthelmes; Stefan Seufert; Michael Fischer,• Fachanwaltschaft Strafrecht • Fachanwaltschaft Verkehrsrecht • Steuerrecht • Zivilrecht • Forderungseinzug & Inkassorecht • Schadensersatzrecht & Schmerzensgeldrecht • Ordnungswidrigkeitenrecht • Arbeitsrecht • Erbrecht • Baurecht & Architektenrecht • Handelsrecht & Gesellschaftsrecht • Allgemeines Vertragsrecht
"Dr. Gorski, Scheibe-In der Stroth, Piotter, Rechtsanwälte, Notar, Fachanwälte","Amselweg 2, 27628 Hagen im Bremischen",https://www.anwalt.de/gorski-scheibe-in-der-stroth-piotter,http://www.kanzlei-in-hagen.de/,info@kanzlei-in-hagen.de,Vanessa Seevers; Falk Scheibe-In der Stroth; Mareike Piotter; Anna Ziemann,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht • • Fachanwaltschaft Sozialrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Unterhaltsrecht • Verwaltungsrecht • Verkehrsrecht • Zivilrecht • Pferderecht • Allgemeines Vertragsrecht • Öffentliches Recht • Recht rund ums Tier • Agrarrecht • Schwerbehindertenrecht • Werkvertragsrecht • Grundstücksrecht & Immobilienrecht • Sozialversicherungsrecht • Ordnungswidrigkeitenrecht • Mediation • Kaufrecht
,,,,,,
D'ANTUONO Rechtsanwälte,"Heiner-Fleischmann-Str. 6, 74172 Neckarsulm",https://www.linkedin.com/in/giuseppe-d-antuono-08741a148/?originalSubdomain=de,https://www.dantuono.de/,kanzlei@dantuono-rae.de,Giuseppe D'Antuono; Christina Spohr; Dagmar Totz; Simon Schultes,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft IT-Recht • • Zivilrecht • Medizinrecht • Schadensersatzrecht & Schmerzensgeldrecht • Sozialversicherungsrecht • Mietrecht & Wohnungseigentumsrecht • Forderungseinzug & Inkassorecht • Allgemeines Vertragsrecht • Unterhaltsrecht • Erbrecht
,,,,,,
Rechtsanwälte Busch · Schneider Partnerschaftsgesellschaft,"Erftstr. 78, 41460 Neuss",https://www.anwalt.de/busch-schneider,http://www.busch-schneider.de/,mail@busch-schneider.de,Andreas Schneider; Frank Asche; Cornel Ehrentraut,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Steuerrecht •
Rechtsanwälte Dr. Nickl & Seufert Partnerschaft mbB,"Ebertstr. 6, 73054 Eislingen/Fils",https://www.anwalt-eislingen.de/,http://www.anwalt-eislingen.de/,info@anwalt-eislingen.de,Nicola Lawrynowicz; Selina Dollak; Dr. jur. Werner Nickl; Fabian Seufert,Fachanwaltschaft Erbrecht • • Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verkehrsrecht • Arbeitsrecht • Allgemeines Vertragsrecht • Zivilrecht • Unterhaltsrecht • Öffentliches Baurecht • Schiedsgerichtsbarkeit • Grundstücksrecht & Immobilienrecht • Mediation
,,,,,,
KOLODZIEJ WINTER KRAUSE Rechtsanwälte,"Dresdner Str. 2, 01662 Meißen",https://www.kanzlei-meissen.de/,http://www.kanzlei-meissen.de/,kanzlei@kanzlei-meissen.de,Anja Kolodziej-Winter; Jan Winter; Anne Krause,• Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Arzthaftungsrecht • Versicherungsrecht • Medizinrecht • Erbrecht • Mietrecht & Wohnungseigentumsrecht • Baurecht & Architektenrecht • Werkvertragsrecht • Ordnungswidrigkeitenrecht • Verkehrsrecht • Mediation
,,,,,,
