Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
WTB Rechtsanw�lte,"Albin-K�bis-Str. 4, 51147 K�ln",https://www.linkedin.com/company/wtb-rechtsanw%C3%A4lte,https://www.wtb-rechtsanwaelte.de/,mail@wtb-recht.de,Joachim Thiele; Kathrin B�nger; Thomas Prange,/ Strafrecht / Ordnungswidrigkeitenrecht / Verkehrsrecht / Internationales Recht / Schadensersatzrecht & Schmerzensgeldrecht / Verfassungsrecht / Arbeitsrecht
ROSE & PARTNER - Rechtsanw�lte Steuerberater,"Jungfernstieg 40, 20354 Hamburg",https://www.linkedin.com/company/rose-&-partner-llp-rechtsanw�lte-steuerberater ,http://www.rosepartner.de/,hamburg@rosepartner.de,Christian Normann; Dr. Marius G. Hossbach; Dorothee von Detten; Meltem Kolper-Deveci; Dr. Boris Jan Schiemzik; Dr. Bernd Fleischer; Dr. Ronny J�nig LL. M.; Helge Schubert LL.M (Tax); Dott. Francesco Senatore; Dirk Mahler; Thomas Repka; Dr. Michael Demuth; Bernfried Rose LL. M.,Fachanwaltschaft Steuerrecht / Fachanwaltschaft Handelsrecht & Gesellschaftsrecht / Fachanwaltschaft Medizinrecht / Fachanwaltschaft Erbrecht / Fachanwaltschaft Gewerblicher Rechtsschutz / Fachanwaltschaft IT-Recht / Grundst�cksrecht & Immobilienrecht / Datenschutzrecht / Mediation / Unternehmensrecht & Betriebsnachfolge / Wirtschaftsrecht / Zivilprozessrecht / Urheberrecht & Medienrecht / Schiedsgerichtsbarkeit / Internationales Wirtschaftsrecht / Maklerrecht / Sportrecht / Unterhaltsrecht / Internationales Recht / Arbeitsrecht / Wettbewerbsrecht / Markenrecht / Bankrecht & Kapitalmarktrecht
"Rechtsanw�lte Reddemann, Huthoff, S�mann und Partner","Herzlia-Allee 105, 45770 Marl",https://de.linkedin.com/in/thomas-reddemann-88b4a0256,http://www.anwnotar.de/,anwalt.de-marl@anwnotar.de,Petra Scholz; Thomas Reddemann; Marc Huthoff; Katja Lukassek; Andr� S�mann,Fachanwaltschaft Erbrecht / Fachanwaltschaft Arbeitsrecht / Fachanwaltschaft Handelsrecht & Gesellschaftsrecht / Fachanwaltschaft Verkehrsrecht / Fachanwaltschaft Versicherungsrecht / Fachanwaltschaft Medizinrecht / Arzthaftungsrecht / Schadensersatzrecht & Schmerzensgeldrecht / Gewerblicher Rechtsschutz / Allgemeines Vertragsrecht / Mediation / Wirtschaftsrecht / Mietrecht & Wohnungseigentumsrecht / Strafrecht / Baurecht & Architektenrecht / Werkvertragsrecht / Zivilprozessrecht / Grundst�cksrecht & Immobilienrecht
Berger & Faoual Rechtsanw�lte,"Syrlinstr. 35, 89073 Ulm",https://de.linkedin.com/in/daniela-peitz-a24b8213b,http://www.anwalt-ulm.com/,info@anwalt-ulm.com,Frank Berger; Marc Faoual; Katrin M�ller-Rohrhirsch,Fachanwaltschaft Strafrecht / Fachanwaltschaft Verkehrsrecht / Kaufrecht / Zivilrecht / Arbeitsrecht / Schadensersatzrecht & Schmerzensgeldrecht / Forderungseinzug & Inkassorecht / Erbrecht / Mietrecht & Wohnungseigentumsrecht / Zwangsvollstreckungsrecht / Ordnungswidrigkeitenrecht
MTR Legal Rechtsanw�lte,"Konrad-Adenauer-Ufer 83, 50668 K�ln",https://www.linkedin.com/company/mtrlegal/,https://www.mtrlegal.com/,info@mtrlegal.com,Michael Rainer; Marc Klaas; Alexander Gottstein LL.B.; Michael Below LL.M.,Handelsrecht & Gesellschaftsrecht / Wirtschaftsrecht / Bankrecht & Kapitalmarktrecht / Steuerrecht / Erbrecht / Arbeitsrecht
Rechtsanw�lte Ritzer Gelhorn Reber,"Ludwigstr. 3, 85049 Ingolstadt",https://de.linkedin.com/in/bettina-hetke-a86a99219,http://www.ra-ritzer-gelhorn.com/,elisabeth.ritzer@kanzlei-in.de,Mario Eisenhut; Bettina Hetke; Elisabeth Ritzer-Reber; Tobias Reber; Friedrich Ritzer; Claus Gelhorn,Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht / Fachanwaltschaft Bankrecht & Kapitalmarktrecht / Fachanwaltschaft Erbrecht / Fachanwaltschaft Arbeitsrecht / Allgemeines Vertragsrecht / Zivilrecht / Handelsrecht & Gesellschaftsrecht / Verkehrsrecht / Schadensersatzrecht & Schmerzensgeldrecht / Forderungseinzug & Inkassorecht / Strafrecht / Baurecht & Architektenrecht / Grundst�cksrecht & Immobilienrecht / Werkvertragsrecht / Maklerrecht
B�SCH & KALAGI Rechtsanw�lte Partnerschaft mbB,"Heiligenstr. 7, 40721 Hilden",https://www.linkedin.com/company/b�sch-&-kalagi-rechtsanw�lte-partnerschaft-mbb,http://www.anwalt-hilden.de/,info@anwalt-hilden.de,Nadja Kalagi LL.M.; Astrid B�sch; Brigitta Ragu� LL.M.; Funda Altun-Osterholt,Fachanwaltschaft Arbeitsrecht / Fachanwaltschaft Strafrecht / Fachanwaltschaft Erbrecht /
BRP RENAUD,"K�nigstr. 28, 70173 Stuttgart",https://www.linkedin.com/company/brp-renaud,http://www.brp.de/,info@brp.de,Barbara G�nther-Reu�; Ena Borjanovic; Dr. Barbara Ackermann-Sprenger; Anja Groeneveld,Fachanwaltschaft Erbrecht / Internationales Recht / Mediation / Unterhaltsrecht / Unternehmensrecht & Betriebsnachfolge
Kanzlei Wieschemann � Karmeinsky � Wiebelt,"Am Altenhof 8, 67655 Kaiserslautern",https://de.linkedin.com/in/stefan-k-0278131bb,http://www.wkw-kl.de/,info@wkw-kl.de,Stefan Klieber; Christian Wiebelt; Bastian Coconcelli; Janina Eispert,Fachanwaltschaft Arbeitsrecht / Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht / Erbrecht / Zivilrecht / Zivilprozessrecht / Allgemeines Vertragsrecht / Verwaltungsrecht / Grundst�cksrecht & Immobilienrecht / Wirtschaftsrecht / Baurecht & Architektenrecht / Verkehrsrecht / Strafrecht / Handelsrecht & Gesellschaftsrecht / Versicherungsrecht / Ordnungswidrigkeitenrecht
Ullmann & Rapp Rechtsanw�lte Partnerschaftsgesellschaft mbB,"Von-der-Tann-Stra�e 41, 86159 Augsburg",https://www.linkedin.com/company/ullmann-rapp-rechtsanwaelte-partnerschaftsgesellschaft-mbb,https://www.ullmann-rapp.de/,info@ullmann-rapp.de,Bernhard Ullmann; Jeremias Ullmann; J�rg Rapp,/ Fachanwaltschaft Erbrecht / Fachanwaltschaft Steuerrecht / Mediation / Verkehrsrecht
